ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WHITE,HISPANIC,BLACK,ASIAN,NATIVE,OTHER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGREE
0001,0101,Halden,Viken,25551,Halden,25551,13179,12372,1,0,0,0,0,0,0.0545264502642123,0.05545554845827769,0.06155275535683177,0.05934614714592649,0.053655420707276,0.05069392021369259,0.05382962661866326,0.05830091167760293,0.06451425585041519,0.06178502990534812,0.0696242959177748,0.0701469136519366,0.07380523779106904,0.07665060101039428,0.055107136635503165,0.03582834910864642,0.021369258463503862,0.0238081412229255,0.13,0.1,0.18,0.09,0.14,0.16,0.07,0.01,0.0,,0.18,0.57,0.23,0.0
0002,0101,Sponvika,Viken,514,Halden,514,265,249,1,0,0,0,0,0,0.0545264502642123,0.05545554845827769,0.06155275535683177,0.05934614714592649,0.053655420707276,0.05069392021369259,0.05382962661866326,0.05830091167760293,0.06451425585041519,0.06178502990534812,0.0696242959177748,0.0701469136519366,0.07380523779106904,0.07665060101039428,0.055107136635503165,0.03582834910864642,0.021369258463503862,0.0238081412229255,0.13,0.1,0.18,0.09,0.14,0.16,0.07,0.01,0.0,,0.18,0.57,0.23,0.0
0003,0101,Isebakke,Viken,868,Halden,868,448,420,1,0,0,0,0,0,0.0545264502642123,0.05545554845827769,0.06155275535683177,0.05934614714592649,0.053655420707276,0.05069392021369259,0.05382962661866326,0.05830091167760293,0.06451425585041519,0.06178502990534812,0.0696242959177748,0.0701469136519366,0.07380523779106904,0.07665060101039428,0.055107136635503165,0.03582834910864642,0.021369258463503862,0.0238081412229255,0.13,0.1,0.18,0.09,0.14,0.16,0.07,0.01,0.0,,0.18,0.57,0.23,0.0
0012,0105,Hasle,Viken,669,Sarpsborg,669,345,324,1,0,0,0,0,0,0.0545264502642123,0.05545554845827769,0.06155275535683177,0.05934614714592649,0.053655420707276,0.05069392021369259,0.05382962661866326,0.05830091167760293,0.06451425585041519,0.06178502990534812,0.0696242959177748,0.0701469136519366,0.07380523779106904,0.07665060101039428,0.055107136635503165,0.03582834910864642,0.021369258463503862,0.0238081412229255,0.13,0.1,0.18,0.09,0.14,0.16,0.07,0.01,0.0,,0.18,0.57,0.23,0.0
0013,0105,Stikkaåsen,Viken,214,Sarpsborg,214,110,104,1,0,0,0,0,0,0.0545264502642123,0.05545554845827769,0.06155275535683177,0.05934614714592649,0.053655420707276,0.05069392021369259,0.05382962661866326,0.05830091167760293,0.06451425585041519,0.06178502990534812,0.0696242959177748,0.0701469136519366,0.07380523779106904,0.07665060101039428,0.055107136635503165,0.03582834910864642,0.021369258463503862,0.0238081412229255,0.13,0.1,0.18,0.09,0.14,0.16,0.07,0.01,0.0,,0.18,0.57,0.23,0.0
0022,0106,Fredrikstad/Sarpsborg,Viken,112464,Fredrikstad,112464,58009,54455,1,0,0,0,0,0,0.0545264502642123,0.05545554845827769,0.06155275535683177,0.05934614714592649,0.053655420707276,0.05069392021369259,0.05382962661866326,0.05830091167760293,0.06451425585041519,0.06178502990534812,0.0696242959177748,0.0701469136519366,0.07380523779106904,0.07665060101039428,0.055107136635503165,0.03582834910864642,0.021369258463503862,0.0238081412229255,0.13,0.1,0.18,0.09,0.14,0.16,0.07,0.01,0.0,,0.18,0.57,0.23,0.0
0031,0104,Moss,Viken,47008,Moss,47008,24247,22761,1,0,0,0,0,0,0.0545264502642123,0.05545554845827769,0.06155275535683177,0.05934614714592649,0.053655420707276,0.05069392021369259,0.05382962661866326,0.05830091167760293,0.06451425585041519,0.06178502990534812,0.0696242959177748,0.0701469136519366,0.07380523779106904,0.07665060101039428,0.055107136635503165,0.03582834910864642,0.021369258463503862,0.0238081412229255,0.13,0.1,0.18,0.09,0.14,0.16,0.07,0.01,0.0,,0.18,0.57,0.23,0.0
0033,0136,Såstadbråten,Viken,423,Rygge,423,218,205,1,0,0,0,0,0,0.0545264502642123,0.05545554845827769,0.06155275535683177,0.05934614714592649,0.053655420707276,0.05069392021369259,0.05382962661866326,0.05830091167760293,0.06451425585041519,0.06178502990534812,0.0696242959177748,0.0701469136519366,0.07380523779106904,0.07665060101039428,0.055107136635503165,0.03582834910864642,0.021369258463503862,0.0238081412229255,0.13,0.1,0.18,0.09,0.14,0.16,0.07,0.01,0.0,,0.18,0.57,0.23,0.0
0041,0111,Skjærhalden,Viken,868,Hvaler,868,448,420,1,0,0,0,0,0,0.0545264502642123,0.05545554845827769,0.06155275535683177,0.05934614714592649,0.053655420707276,0.05069392021369259,0.05382962661866326,0.05830091167760293,0.06451425585041519,0.06178502990534812,0.0696242959177748,0.0701469136519366,0.07380523779106904,0.07665060101039428,0.055107136635503165,0.03582834910864642,0.021369258463503862,0.0238081412229255,0.13,0.1,0.18,0.09,0.14,0.16,0.07,0.01,0.0,,0.18,0.57,0.23,0.0
0042,0111,Rød,Viken,618,Hvaler,618,319,299,1,0,0,0,0,0,0.0545264502642123,0.05545554845827769,0.06155275535683177,0.05934614714592649,0.053655420707276,0.05069392021369259,0.05382962661866326,0.05830091167760293,0.06451425585041519,0.06178502990534812,0.0696242959177748,0.0701469136519366,0.07380523779106904,0.07665060101039428,0.055107136635503165,0.03582834910864642,0.021369258463503862,0.0238081412229255,0.13,0.1,0.18,0.09,0.14,0.16,0.07,0.01,0.0,,0.18,0.57,0.23,0.0
